"target_id","exp_cnt","click_cnt","image_text_price",
"5e4c2046-2085-42cb-aaf1-69d94d3c072e000","12","","30.0000",
"5e996c40-caeb-4d20-8385-4926f1a9948a000","22","3","30.0000",
"5f2b3d46-8613-4bf0-896f-7fea31cf171d000","293","15","60.0000",
"5f41f8ba-700a-4b7d-b3dd-fad1559c31e2000","175","18","120.0000",
"5f4e3ae2-277f-47fb-8618-23a7fa621c58000","46","12","80.0000",
"5f7d98de-38e7-4c4d-afb1-969598e7bdaf000","27","2","",
"5f8690e1-0712-47c2-81ed-d0b3ff8715d5000","348","32","50.0000",
"60a5155b-00cc-4f05-9486-9b1c437955a2000","240","4","40.0000",
"60bdca80-0fff-4c6d-b76e-ceba9b40ac43000","11","","",
"61f26eb7-98a8-45ca-8af1-cbbcdab8d820000","1556","101","350.0000",
"631009ac-2aed-4094-a0c9-8bdab4f1745b000","75","1","",
"632b15b7-e715-4431-9dd7-f3b87a5022c0000","110","6","40.0000",
"63bf8776-23c8-4dc0-bd81-af957de998ea000","62","9","20.0000",
"64968dab-1ed3-4ef0-8d48-42d8100cdaf7000","12","1","30.0000",
"65046490-42be-4d81-a289-edc0a697a181000","399","7","20.0000",
"65341688-3ee9-4e77-8d47-0e82f6bc25ca000","118","5","50.0000",
"654c0b2d-9490-4b06-91f5-320adbc831ce000","31","4","10.0000",
"65954f25-cbf0-4666-baff-ea3d25bd8495000","440","33","80.0000",
"667e4bf5-28b2-43ee-8259-665a7a93cdda000","914","87","100.0000",
"69343939-c47c-49a0-9986-2adba37dd582000","25","","30.0000",
"6967df82-ccfc-40e9-a170-af443b47ece0000","48","1","30.0000",
"699f921c-f1eb-492d-9635-a735d24b99dc000","38","2","150.0000",
"6bd5e12e-c3be-47f6-9229-1579cd679972000","79","2","3.6000",
"6c11c79b-cc5a-4810-9d9d-1d27415851c7000","3402","225","30.0000",
"6c1465b3-2b75-40db-92a2-9204857be913000","17","","",
"6cafe8b9-4315-46f0-a08f-cf24caed043a000","62","","20.0000",
"6cdf9196-8763-404f-a6d8-80d4ad5702c1000","31","","20.0000",
"6ce717ec-f71f-4ead-b7b5-5e08026381f5000","11","1","20.0000",
"6d34394f-e080-4835-9131-553a96f9415a000","17","1","23.0000",
"6d872914-c33b-43f2-9a18-8dbe67151053000","53","1","30.0000",
"6d91884d-85f7-4ddc-9613-e1132a59685c000","35","","25.0000",
"6e02042d-5c33-45f9-ad67-923dd548d4af000","20","","30.0000",
"6e288336-453e-4295-89b1-20c22b020a5a000","69","6","30.0000",
"6e2e1759-88d6-4808-bd16-a4c1f33004c3000","14","","25.0000",
"6ecdc201-713c-40d7-b533-47745127c95e000","31","2","20.0000",
"6ed41cc5-1ac5-43d0-acab-4875b4bee870000","3354","218","40.0000",
"6ee768b9-4a73-44a1-8be1-d01bfbffc02c000","564","71","50.0000",
"6f17b3f7-3272-4dc7-bfe2-cdf52ff279f4000","554","9","80.0000",
"6f712baf-e9f1-489f-ae8c-6296833d0fc2000","56","","25.0000",
"70184a7f-66e5-4af5-8300-2c1af197243b000","15","2","20.0000",
"710bc85e-1fb7-4097-8129-18494dcb9979000","237","7","68.0000",
"713d064b-208c-4e02-9924-74d9f635c620000","12","3","50.0000",
"714083f3-a727-4d7c-92a4-af374155661e000","15","","30.0000",
"7145bbd1-218d-4400-a906-f46576ed556e000","37","1","",
"716d5e76-68e4-4610-9af1-190bb9b14030000","1098","278","150.0000",
"71969DB587714498B7478225DEF1A500000","29","","",
"71e9a2dc-235d-4e2d-9ac5-68f769323e9a000","30","","30.0000",
"71faa53e-89f2-455d-8240-fe51e37a9d23000","31","","30.0000",
"725fe7be-b71c-4ef7-9403-0f46790be373000","97","6","30.0000",
"72696808-da8d-49d9-98f5-a2606b99101e000","18","","30.0000",
"74891989-e963-4b74-8b15-4a0f92179131000","575","10","30.0000",
"74919fc0-7cde-4dda-8231-489000792de3000","71","10","50.0000",
"74d9ca22-cb67-4938-9844-0996732ac909000","79","1","30.0000",
"75aac22b-bb0b-4c2e-8161-899c28602514000","83","6","200.0000",
"7690f849-a533-40f3-a680-132e333ad289000","22","","10.0000",
"77052d69-7946-45ec-98e0-e7cbf6f1eceb000","17","1","",
"779df105-0334-4dbd-af1d-ae5e235e774b000","130","4","50.0000",
"78b2f9af-d7ad-4f96-8685-5d3c897f1a15000","222","5","30.0000",
"78ea3448-728c-4c34-8e54-e5aa1b641278000","16","1","50.0000",
"78fe9603-2aa8-417b-bb7b-1e109dc5f05b000","22","2","",
"799bcefe-ece0-42b9-93a6-5dd8bf417418000","12","","",
"7F6A2B5EA2444354BEA0305E75DDAB15000","36","1","20.0000",
"7acc62ce-b1e4-424b-bdae-0a854e976974000","309","14","120.0000",
"7afcc287-b309-45d5-969a-9176d8a63ae6000","22","1","50.0000",
"7afcca16-842f-4096-9f44-0f235db03783000","99","8","80.0000",
"7b032564-a07f-488c-b42d-9df41e19eacc000","299","19","100.0000",
"7b0cc904-2ee8-4833-8612-7c77cdcfef6e000","62","7","20.0000",
"7b46f705-e0cb-49dd-a4b6-29144f38bce8000","18","1","10.0000",
"7c232925-e760-474e-aa57-946a72032b4c000","81","11","198.0000",
"7da6ae90-e743-4061-b09f-8e17ed54e3d0000","17","2","15.0000",
"7e472c40-cb11-4127-9bd5-6cfacd08a49c000","468","30","49.0000",
"7e885f8f-d78d-4a55-b8ca-27c6b2d45c19000","15","","10.0000",
"7e8f9fcc-1894-4955-81f4-e548596e8e73000","21","","200.0000",
"7ec918ad-e566-4d9b-9dd3-23b7d747b10e000","20","1","",
"7f013369-7b1b-4944-b92e-ab1c24676efe000","21","","30.0000",
"80ea611c-dff0-4146-963e-bc236e785c2b000","349","10","20.0000",
"81cb19f8-ff99-4ffb-bbf1-e5112ea53eaf000","21","","5.0000",
"821921a9-a847-4f7f-97ad-d0d737a1fc95000","31","2","",
"82bd754b-c9c6-4a90-bf28-e5447f75517d000","82","2","25.0000",
"835a73cd-fceb-4ef8-911d-2716b4d8e5fb000","16","","",
"838ce5af-870d-4e6d-87d5-7abd836083a3000","17","","50.0000",
"841bf1c7-9ac4-444d-8833-7c2faed65ef6000","12","","50.0000",
"847bf95c-a349-4ac2-97d5-7f5c9685ca9f000","39","2","30.0000",
"85106214-0a1e-4c75-82ca-f6a222333bbf000","228","13","25.0000",
"85cd5432-5c93-495f-ad04-96aaf8ccaa5b000","39","3","",
"8667321f-5193-463a-a7b5-5b8905567686000","83","3","20.0000",
"86ab339b-24c4-4c9a-bd21-3f1ebdb0b1ff000","1813","70","20.0000",
"87051ac1-0526-4fd1-b949-c1cd3a2dbfe2000","37","1","50.0000",
"87531b21-2597-488d-a734-a2e2cbd9b892000","14","","20.0000",
"87cb038f-90df-485a-bff2-bb3bea343cbd000","26","","",
"87df2977-9630-4b23-a7ea-68835d9ebe04000","31","2","10.0000",
"88628abf-2816-47ec-96e4-b7e84f372c52000","26","","30.0000",
"8944fa20-4e78-4248-9d79-3b0337cbd840000","14","","40.0000",
"8a2677d6-a999-4cb0-ac42-d9416f3730ee000","40","1","30.0000",
"8a66bdf1-6a92-4ca2-bd68-96c3dc162b1f000","13","","",
"8a69e237-f7ef-4180-81e9-136306f74a08000","13","2","30.0000",
"8a78c241-6aa3-44ae-9581-913da3a50c60000","52","2","",
"8a8ce8e5-91ca-4338-afca-1bd8d8830ef8000","65","2","30.0000",
"8affc95f-c8c6-42ff-8087-fced8127741e000","69","","10.0000",
"8ba6299f-03d0-4fe7-b963-adcba0f98f26000","268","22","59.0000",
"8c075a42-4a03-4d06-9d78-e4566569f8e8000","220","30","30.0000",
"8d263c76-0b51-4209-ae98-bd49040e6e68000","17","","10.0000",
"8db2c9e2-a2ee-4b07-84f7-922529f0901e000","1133","47","49.0000",
"8e222b85-6eca-4c3e-8ac1-75b0cb39a12f000","18","1","60.0000",
"8fb50c98-9df9-4c37-a6a2-ab3c339fc38d000","42","","30.0000",
"909224cb-1851-4035-af39-e2fced88431b000","70","2","20.0000",
"90f7eed4-2664-41e9-9d3b-4fe21bc5a0c6000","95","2","10.0000",
"91cad06d-9886-4d07-91b6-8fc89908c102000","13","","",
"9281ac82-c8d4-446c-8a37-b85cecf6b204000","139","6","20.0000",
"932eee18-7abd-4949-8379-2277f3eaa371000","422","41","30.0000",
"94436078-3b6f-4574-8476-9e27ef32d682000","37","1","50.0000",
"9464a991-f8c8-4c0b-a81a-87724da0dc66000","1006","72","92.0000",
"94fafce5-c720-11e1-913c-5cf9dd2e7135000","13","","",
"950658ed-c720-11e1-913c-5cf9dd2e7135000","273","16","40.0000",
"9529e95e-c720-11e1-913c-5cf9dd2e7135000","14","","20.0000",
"952aefaf-c720-11e1-913c-5cf9dd2e7135000","26","","",
"952af362-c720-11e1-913c-5cf9dd2e7135000","32","4","60.0000",
"95335246-c720-11e1-913c-5cf9dd2e7135000","38","1","80.0000",
"953aa096-c720-11e1-913c-5cf9dd2e7135000","64","8","60.0000",
"953ddb67-c720-11e1-913c-5cf9dd2e7135000","14","1","40.0000",
"9541d39f-c720-11e1-913c-5cf9dd2e7135000","99","10","30.0000",
"95491197-c720-11e1-913c-5cf9dd2e7135000","14","","50.0000",
"9555044d-c720-11e1-913c-5cf9dd2e7135000","101","5","45.0000",
"955cbe2f-c720-11e1-913c-5cf9dd2e7135000","19","4","100.0000",
"95765b64-c720-11e1-913c-5cf9dd2e7135000","144","3","50.0000",
"957bf87e-c720-11e1-913c-5cf9dd2e7135000","125","6","60.0000",
"957d99d5-a316-4e91-b65c-3c5c5189369e000","88","5","100.0000",
"9582e471-c720-11e1-913c-5cf9dd2e7135000","79","3","200.0000",
"959ffbec-c720-11e1-913c-5cf9dd2e7135000","34","1","80.0000",
"95c20510-c720-11e1-913c-5cf9dd2e7135000","65","","20.0000",
"95c65f98-a7d4-400d-907a-e69fd12c73e2000","152","13","60.0000",
"95d401c6-c720-11e1-913c-5cf9dd2e7135000","17","","5.0000",
"95d9946d-c720-11e1-913c-5cf9dd2e7135000","21","","15.0000",
"95ee07ac-c720-11e1-913c-5cf9dd2e7135000","31","1","40.0000",
"95f755d6-c720-11e1-913c-5cf9dd2e7135000","855","22","20.0000",
"95fa9cbe-c720-11e1-913c-5cf9dd2e7135000","113","7","40.0000",
"95fef8fd-c720-11e1-913c-5cf9dd2e7135000","33","","40.0000",
"95ff395c-c720-11e1-913c-5cf9dd2e7135000","17","1","30.0000",
"96073dc1-c720-11e1-913c-5cf9dd2e7135000","243","1","60.0000",
"960cd7e1-c720-11e1-913c-5cf9dd2e7135000","80","2","30.0000",
"96107a8c-c720-11e1-913c-5cf9dd2e7135000","31","","20.0000",
"962c5ad9-c720-11e1-913c-5cf9dd2e7135000","25","","25.0000",
"9637d865-c720-11e1-913c-5cf9dd2e7135000","32","","60.0000",
"9638438d-c720-11e1-913c-5cf9dd2e7135000","20","","",
"963f450d-467e-4668-ba46-c49a3c4f0630000","16","1","60.0000",
"964807b3-c720-11e1-913c-5cf9dd2e7135000","18","","30.0000",
"9653053c-c720-11e1-913c-5cf9dd2e7135000","35","1","30.0000",
"9654286e-c720-11e1-913c-5cf9dd2e7135000","22","1","40.0000",
"9655bffe-c720-11e1-913c-5cf9dd2e7135000","16","","",
"965a9f79-448b-412a-83ef-9433a85203a6000","14","1","20.0000",
"9689958d-c720-11e1-913c-5cf9dd2e7135000","46","3","39.0000",
